book_id,title,language,num_pages,publish_date,avg_rating,num_ratings,num_reviews,price,stock,price_band,publish_decade
224,The Black Mass of Brother Springer,English,208.0,2003-12-01,3.98,265,31,479.0,10,Mid (300-500),2000.0
226,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,English,184.0,2001-01-15,3.86,7,0,471.8,10,Mid (300-500),2000.0
228,Cockfighter,English,200.0,2005-06-01,4.11,1271,97,483.4,25,Mid (300-500),2000.0
229,Sideswipe,English,279.0,1988-06-12,4.04,1019,108,488.5,25,Mid (300-500),1980.0
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard,English,144.0,1990-10-03,3.85,977,107,467.4,10,Mid (300-500),1990.0
231,I am Charlotte Simmons,English,738.0,2005-08-30,3.43,26789,2040,510.0,50,Premium (500-700),2000.0
232,I am Charlotte Simmons,English,,2004-11-01,3.43,26796,2040,536.2,50,Premium (500-700),2000.0
234,The Complete Verse and Other Nonsense,English,624.0,2002-10-29,4.18,984,37,528.6,10,Premium (500-700),2000.0
235,A Book of Nonsense,English,288.0,1992-11-03,3.64,2014,187,473.4,25,Mid (300-500),1990.0
236,The Complete Nonsense of Edward Lear,English,287.0,1940-06-01,4.02,844,100,488.5,10,Mid (300-500),1940.0
237,Poetry for Young People: Edward Lear,English,48.0,2001-10-01,4.0,85,24,463.8,10,Mid (300-500),2000.0
238,Later Letters of Edward Lear to Chichester Fortescue (Select Bibliographies Reprint Ser.,English,366.0,1977-06-01,5.0,4,2,535.6,10,Premium (500-700),1970.0
239,An Edward Lear Alphabet,English,32.0,1999-04-01,3.39,51,10,437.8,10,Mid (300-500),1990.0
240,Edward Lear's Nonsense Verse,English,32.0,1999-12-01,3.64,2014,187,447.8,25,Mid (300-500),1990.0
241,A Was Once an Apple Pie,English,32.0,2005-09-01,3.42,219,72,439.0,10,Mid (300-500),2000.0
242,The Owl and the Pussycat,English,32.0,1996-05-07,4.19,8199,289,469.8,25,Mid (300-500),1990.0
243,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense,English,24.0,1986-03-27,4.58,55,7,484.6,10,Mid (300-500),1980.0
244,The Puffin Book of Nonsense Verse,English,287.0,1996-10-03,4.01,115,9,488.1,10,Mid (300-500),1990.0
245,Henry Miller on Writing,English,217.0,1964-02-01,4.23,1064,58,489.9,25,Mid (300-500),1960.0
246,The Colossus of Maroussi,English,244.0,1975-01-17,3.98,3568,303,482.6,25,Mid (300-500),1970.0
247,Quiet Days in Clichy,English,154.0,1994-01-13,3.67,4549,266,461.2,25,Mid (300-500),1990.0
248,Big Sur and the Oranges of Hieronymus Bosch,English,400.0,1957-01-17,4.02,2746,162,499.8,25,Mid (300-500),1950.0
249,Tropic of Cancer,English,318.0,1994-01-06,3.67,66866,3342,477.6,50,Mid (300-500),1990.0
250,Tropic of Capricorn,English,348.0,1994-01-13,3.78,18221,691,485.0,50,Mid (300-500),1990.0
251,Nexus,English,316.0,1994-01-13,4.1,3697,97,494.6,25,Mid (300-500),1990.0
252,Sexus,English,506.0,1994-01-12,3.97,8912,363,508.4,25,Premium (500-700),1990.0
253,The Air-Conditioned Nightmare,English,292.0,1970-01-17,3.83,3024,183,481.4,25,Mid (300-500),1970.0
254,The Time of the Assassins:  a Study of Rimbaud,English,160.0,1962-01-17,3.94,1069,103,472.6,25,Mid (300-500),1960.0
255,Public Places-Urban Spaces: The Dimensions of Urban Design,English,320.0,2003-03-14,4.12,123,7,495.8,10,Mid (300-500),2000.0
256,Behavior in Public Places,English,248.0,1966-09-01,4.09,255,11,487.4,10,Mid (300-500),1960.0
257,Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,English,288.0,2004-10-01,3.42,19,1,464.6,10,Mid (300-500),2000.0
258,"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",English,441.0,2004-05-03,3.82,51,6,495.9,10,Mid (300-500),2000.0
259,Together Alone: Personal Relationships in Public Places,English,320.0,2005-08-08,3.67,12,1,477.8,10,Mid (300-500),2000.0
260,Squares: A Public Place Design Guide for Urbanists,English,208.0,2006-09-01,3.88,8,0,475.0,10,Mid (300-500),2000.0
261,Just in Time! Pastoral Prayers in Public Places,English,80.0,2006-03-01,3.8,5,0,459.0,10,Mid (300-500),2000.0
262,Pike Place Public Market Seafood Cookbook,English,129.0,2005-06-01,3.83,24,2,465.1,10,Mid (300-500),2000.0
263,Art for Public Places: Critical Essays,English,244.0,1989-01-01,4.0,5,1,483.4,10,Mid (300-500),1980.0
264,The Portrait of a Lady,English,797.0,2003-09-30,3.77,74969,2941,529.5,50,Premium (500-700),2000.0
265,The Portrait of a Lady,English,,2003-01-01,3.91,11,3,555.4,10,Premium (500-700),2000.0
266,The Portrait of a Lady,English,,2006-06-25,3.77,74975,2943,549.8,50,Premium (500-700),2000.0
267,Portrait of the Blue Lady: The Character of Melancholy,English,314.0,2004-10-26,4.36,11,1,504.8,10,Premium (500-700),2000.0
268,The Portrait of a Lady,English,704.0,1999-09-16,3.77,74975,2943,520.2,50,Premium (500-700),1990.0
269,The Portrait of a Lady,English,635.0,2004-01-16,3.77,74972,2942,513.3,50,Premium (500-700),2000.0
270,The Portrait of a Lady,English,640.0,2001-04-16,3.77,74975,2943,513.8,50,Premium (500-700),2000.0
271,New Essays on 'the Portrait of a Lady',English,178.0,1990-01-26,4.0,3,0,476.8,10,Mid (300-500),1990.0
272,Portrait of a Lady,English,548.0,1994-08-15,3.77,74975,2943,504.6,50,Premium (500-700),1990.0
273,The Portrait of a Lady,English,4.0,1996-12-01,3.77,74973,2942,450.2,50,Mid (300-500),1990.0
274,The Portrait of a Lady,English,,1998-06-25,3.77,74975,2943,549.8,50,Premium (500-700),1990.0
275,The Lover,English,117.0,1998-09-08,3.74,38283,2842,460.3,50,Mid (300-500),1990.0
276,Hiroshima Mon Amour,French,,1972-10-01,3.9,4259,239,555.0,25,Premium (500-700),1970.0
277,Writing,English,91.0,1999-05-06,3.72,1864,170,456.9,25,Mid (300-500),1990.0
278,The War,English,192.0,1994-08-01,3.85,2416,181,472.2,25,Mid (300-500),1990.0
279,Craniosacral Therapy II: Beyond the Dura,English,259.0,1990-01-01,4.35,48,1,498.9,10,Mid (300-500),1990.0
280,The Ravishing of Lol Stein,English,181.0,1986-03-12,3.66,3441,254,463.5,25,Mid (300-500),1980.0
281,"Destroy, She Said",English,133.0,1986-01-01,3.67,874,80,459.1,10,Mid (300-500),1980.0
282,L'Amour,French,217.0,1998-04-01,3.28,978,105,451.9,10,Mid (300-500),1990.0
283,L'Amant de la Chine du Nord,French,246.0,2002-01-01,3.88,2562,186,478.8,25,Mid (300-500),2000.0
